SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationid,CurrentSchoolType,Gradelevel,All Students,Female,Male,Gender X,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,82,40.0,42.0,,1.0,4.0,3.0,5.0,,7.0,62.0,7.0,1.0,1.0,7.0,,,,,6.0,75.0,81.0,81.0,75.0,82.0,82,82.0,82.0,76.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,78,40.0,38.0,,,1.0,1.0,2.0,,12.0,62.0,7.0,,1.0,3.0,,,3.0,1.0,5.0,71.0,78.0,77.0,75.0,78.0,78,75.0,77.0,73.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,97,41.0,56.0,,1.0,1.0,4.0,6.0,,11.0,74.0,2.0,,1.0,10.0,,1.0,2.0,,8.0,95.0,97.0,96.0,87.0,97.0,96,95.0,97.0,89.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,108,52.0,56.0,,,3.0,2.0,10.0,,11.0,82.0,5.0,1.0,4.0,20.0,1.0,,1.0,3.0,14.0,103.0,107.0,104.0,88.0,107.0,108,107.0,105.0,94.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,96,40.0,56.0,,,2.0,4.0,7.0,,15.0,68.0,5.0,,1.0,15.0,,,2.0,,6.0,91.0,96.0,95.0,81.0,96.0,96,94.0,96.0,90.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,97,49.0,48.0,,1.0,2.0,4.0,15.0,,7.0,68.0,10.0,,3.0,18.0,1.0,,,1.0,10.0,87.0,97.0,94.0,79.0,96.0,97,97.0,96.0,87.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,70,33.0,37.0,,,1.0,4.0,1.0,,9.0,55.0,7.0,,1.0,7.0,,,1.0,,7.0,63.0,70.0,69.0,63.0,70.0,70,69.0,70.0,63.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,90,42.0,48.0,,,1.0,3.0,8.0,,11.0,67.0,4.0,1.0,,7.0,,1.0,,,8.0,86.0,89.0,90.0,83.0,90.0,89,90.0,90.0,82.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,104,51.0,53.0,,1.0,4.0,2.0,11.0,,11.0,75.0,8.0,1.0,5.0,20.0,1.0,,,2.0,18.0,96.0,103.0,99.0,84.0,103.0,104,104.0,102.0,86.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,91,41.0,50.0,,1.0,1.0,5.0,7.0,,12.0,65.0,7.0,,5.0,17.0,,,1.0,1.0,10.0,84.0,91.0,86.0,74.0,91.0,91,90.0,90.0,81.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,95,49.0,46.0,,1.0,3.0,4.0,15.0,,7.0,65.0,9.0,,3.0,18.0,1.0,,5.0,1.0,12.0,86.0,95.0,92.0,77.0,94.0,95,90.0,94.0,83.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,101,45.0,56.0,,,5.0,6.0,5.0,1.0,8.0,76.0,7.0,,2.0,17.0,,,2.0,1.0,14.0,94.0,101.0,99.0,84.0,101.0,101,99.0,100.0,87.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,3rd Grade,88,44.0,44.0,,2.0,2.0,3.0,6.0,,10.0,65.0,5.0,1.0,,8.0,,1.0,,,13.0,83.0,87.0,88.0,80.0,88.0,87,88.0,88.0,75.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,3rd Grade,96,48.0,48.0,,1.0,2.0,2.0,12.0,,11.0,68.0,4.0,1.0,4.0,22.0,1.0,,4.0,1.0,20.0,92.0,95.0,92.0,74.0,95.0,96,92.0,95.0,76.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,3rd Grade,90,43.0,47.0,,1.0,,5.0,9.0,,12.0,63.0,4.0,,2.0,15.0,,,,5.0,21.0,86.0,90.0,88.0,75.0,90.0,90,90.0,85.0,69.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,3rd Grade,92,45.0,47.0,,,2.0,4.0,15.0,,10.0,61.0,9.0,,2.0,15.0,1.0,,2.0,3.0,14.0,83.0,92.0,90.0,77.0,91.0,92,90.0,89.0,78.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,3rd Grade,99,44.0,55.0,,,6.0,6.0,5.0,1.0,8.0,73.0,7.0,,2.0,16.0,,,5.0,1.0,20.0,92.0,99.0,97.0,83.0,99.0,99,94.0,98.0,79.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,3rd Grade,89,49.0,40.0,,,3.0,4.0,12.0,,10.0,60.0,9.0,,3.0,19.0,,,3.0,3.0,13.0,80.0,89.0,86.0,70.0,89.0,89,86.0,86.0,76.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,4th Grade,92,47.0,45.0,,1.0,2.0,,11.0,,10.0,68.0,3.0,1.0,3.0,17.0,1.0,,1.0,1.0,18.0,89.0,91.0,89.0,75.0,91.0,92,91.0,91.0,74.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,4th Grade,89,47.0,42.0,,1.0,,3.0,9.0,,12.0,64.0,3.0,,3.0,17.0,,1.0,1.0,4.0,19.0,86.0,89.0,86.0,72.0,89.0,88,88.0,85.0,70.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,4th Grade,97,48.0,49.0,,,1.0,7.0,13.0,,10.0,66.0,10.0,,2.0,16.0,,,1.0,2.0,17.0,87.0,97.0,95.0,81.0,97.0,97,96.0,95.0,80.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,4th Grade,91,37.0,54.0,,,4.0,5.0,5.0,1.0,8.0,68.0,7.0,,2.0,14.0,,,1.0,6.0,24.0,84.0,91.0,89.0,77.0,91.0,91,90.0,85.0,67.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,4th Grade,87,50.0,37.0,,,,6.0,11.0,,11.0,59.0,8.0,,2.0,18.0,1.0,,4.0,3.0,17.0,79.0,87.0,85.0,69.0,86.0,87,83.0,84.0,70.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,4th Grade,68,29.0,39.0,,1.0,4.0,4.0,11.0,,4.0,44.0,5.0,,3.0,19.0,1.0,,2.0,2.0,18.0,63.0,68.0,65.0,49.0,67.0,68,66.0,66.0,50.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,5th Grade,88,43.0,45.0,,,2.0,5.0,10.0,,12.0,59.0,6.0,,1.0,17.0,1.0,,3.0,4.0,20.0,82.0,88.0,87.0,71.0,87.0,88,85.0,84.0,68.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,5th Grade,99,49.0,50.0,,,2.0,6.0,12.0,,10.0,69.0,9.0,,4.0,16.0,,,3.0,3.0,16.0,90.0,99.0,95.0,83.0,99.0,99,96.0,96.0,83.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,5th Grade,78,32.0,46.0,,,3.0,2.0,4.0,1.0,7.0,61.0,3.0,,,8.0,,,2.0,6.0,24.0,75.0,78.0,78.0,70.0,78.0,78,76.0,72.0,54.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,5th Grade,95,51.0,44.0,,1.0,1.0,6.0,13.0,,11.0,63.0,7.0,2.0,1.0,18.0,1.0,,1.0,5.0,18.0,88.0,93.0,94.0,77.0,94.0,95,94.0,90.0,77.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,5th Grade,63,24.0,39.0,,1.0,4.0,3.0,12.0,,4.0,39.0,4.0,,4.0,17.0,1.0,,5.0,5.0,19.0,59.0,63.0,59.0,46.0,62.0,63,58.0,58.0,44.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,5th Grade,74,37.0,37.0,,,7.0,4.0,12.0,,6.0,45.0,8.0,3.0,2.0,22.0,,,1.0,4.0,13.0,66.0,71.0,72.0,52.0,74.0,74,73.0,70.0,61.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,AllGrades,500,237.0,262.0,1.0,4.0,14.0,16.0,39.0,1.0,57.0,369.0,30.0,3.0,6.0,58.0,2.0,1.0,7.0,5.0,65.0,470.0,497.0,494.0,442.0,498.0,499,493.0,495.0,435.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,AllGrades,536,266.0,270.0,,3.0,9.0,18.0,49.0,,65.0,392.0,36.0,3.0,13.0,71.0,1.0,3.0,13.0,9.0,76.0,500.0,533.0,523.0,465.0,535.0,533,523.0,527.0,460.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,AllGrades,553,262.0,291.0,,3.0,10.0,21.0,46.0,1.0,64.0,408.0,35.0,1.0,12.0,73.0,1.0,1.0,6.0,16.0,91.0,518.0,552.0,541.0,480.0,552.0,552,547.0,537.0,462.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,AllGrades,572,271.0,301.0,,3.0,11.0,25.0,59.0,1.0,64.0,409.0,40.0,3.0,14.0,91.0,3.0,,7.0,18.0,87.0,532.0,569.0,558.0,481.0,569.0,572,565.0,554.0,485.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,AllGrades,545,257.0,288.0,,2.0,20.0,24.0,57.0,1.0,56.0,385.0,39.0,,14.0,102.0,3.0,,23.0,10.0,85.0,506.0,545.0,531.0,443.0,542.0,545,522.0,535.0,460.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,AllGrades,536,251.0,285.0,,2.0,22.0,24.0,66.0,1.0,54.0,367.0,43.0,3.0,13.0,108.0,2.0,,10.0,11.0,72.0,493.0,533.0,523.0,428.0,534.0,536,526.0,525.0,464.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Half-day Kindergarten,101,48.0,53.0,,,3.0,1.0,7.0,,11.0,79.0,5.0,,2.0,16.0,,,,,10.0,96.0,101.0,99.0,85.0,101.0,101,101.0,101.0,91.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Half-day Kindergarten,104,41.0,63.0,,,1.0,2.0,11.0,,18.0,72.0,4.0,,,13.0,,,2.0,,4.0,100.0,104.0,104.0,91.0,104.0,104,102.0,104.0,100.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Kindergarten,80,30.0,49.0,1.0,,3.0,1.0,6.0,1.0,9.0,60.0,2.0,,,2.0,,,2.0,,1.0,78.0,80.0,80.0,78.0,80.0,80,78.0,80.0,79.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Kindergarten,84,40.0,44.0,,1.0,3.0,3.0,6.0,,9.0,62.0,9.0,1.0,1.0,6.0,,1.0,2.0,,8.0,75.0,83.0,83.0,78.0,84.0,83,82.0,84.0,76.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Kindergarten,87,47.0,40.0,,,1.0,1.0,3.0,,13.0,69.0,8.0,,2.0,4.0,,,1.0,1.0,3.0,79.0,87.0,85.0,83.0,87.0,87,86.0,86.0,84.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Kindergarten,95,45.0,50.0,,1.0,,3.0,9.0,,12.0,70.0,5.0,,,7.0,,,1.0,,7.0,90.0,95.0,95.0,88.0,95.0,95,94.0,95.0,88.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Kindergarten,4,2.0,2.0,,,2.0,,,,,2.0,1.0,,,2.0,,,2.0,,1.0,3.0,4.0,4.0,2.0,4.0,4,2.0,4.0,3.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,Kindergarten,3,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,6th Grade,209,107.0,102.0,,1.0,69.0,61.0,37.0,3.0,21.0,17.0,57.0,1.0,16.0,159.0,,,6.0,1.0,41.0,152.0,208.0,193.0,50.0,209.0,209,203.0,208.0,168.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,6th Grade,239,111.0,128.0,,,73.0,75.0,44.0,5.0,23.0,19.0,52.0,1.0,10.0,191.0,,,7.0,2.0,49.0,187.0,238.0,229.0,48.0,239.0,239,232.0,237.0,190.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,6th Grade,197,90.0,107.0,,1.0,67.0,66.0,32.0,7.0,16.0,8.0,38.0,,22.0,146.0,,1.0,5.0,6.0,37.0,159.0,197.0,175.0,51.0,197.0,196,192.0,191.0,160.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,6th Grade,223,104.0,119.0,,,78.0,92.0,31.0,,11.0,11.0,59.0,1.0,26.0,186.0,1.0,,6.0,3.0,43.0,164.0,222.0,197.0,37.0,222.0,223,217.0,220.0,180.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,6th Grade,259,121.0,138.0,,,94.0,87.0,57.0,4.0,13.0,4.0,71.0,1.0,27.0,217.0,,,6.0,4.0,41.0,188.0,258.0,232.0,42.0,259.0,259,253.0,255.0,218.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,6th Grade,244,125.0,119.0,,2.0,96.0,81.0,33.0,1.0,17.0,14.0,60.0,1.0,18.0,200.0,4.0,,6.0,2.0,42.0,184.0,243.0,226.0,44.0,240.0,244,238.0,242.0,202.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,7th Grade,246,115.0,131.0,,,77.0,79.0,42.0,6.0,24.0,18.0,49.0,1.0,16.0,195.0,1.0,1.0,7.0,4.0,43.0,197.0,245.0,230.0,51.0,245.0,245,239.0,242.0,203.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,7th Grade,201,95.0,106.0,,2.0,65.0,64.0,37.0,5.0,21.0,7.0,37.0,,13.0,149.0,,,7.0,9.0,37.0,164.0,201.0,188.0,52.0,201.0,201,194.0,192.0,164.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,7th Grade,232,102.0,130.0,,,80.0,91.0,34.0,3.0,12.0,12.0,54.0,1.0,33.0,197.0,,,13.0,5.0,46.0,178.0,231.0,199.0,35.0,232.0,232,219.0,227.0,186.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,7th Grade,265,120.0,145.0,,2.0,84.0,107.0,51.0,3.0,15.0,3.0,55.0,4.0,34.0,220.0,,,10.0,5.0,42.0,210.0,261.0,231.0,45.0,265.0,265,255.0,260.0,223.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,7th Grade,243,121.0,122.0,,1.0,107.0,75.0,31.0,1.0,16.0,12.0,58.0,2.0,21.0,205.0,1.0,,6.0,2.0,36.0,185.0,241.0,222.0,38.0,242.0,243,237.0,241.0,207.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,7th Grade,225,100.0,125.0,,2.0,91.0,74.0,37.0,3.0,8.0,10.0,45.0,3.0,17.0,183.0,,,8.0,4.0,32.0,180.0,222.0,208.0,42.0,225.0,225,217.0,221.0,193.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,8th Grade,202,94.0,108.0,,2.0,72.0,59.0,39.0,6.0,16.0,8.0,42.0,1.0,17.0,151.0,1.0,,8.0,9.0,34.0,160.0,201.0,185.0,51.0,201.0,202,194.0,193.0,168.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,8th Grade,224,95.0,129.0,,1.0,82.0,89.0,32.0,3.0,9.0,8.0,55.0,1.0,9.0,182.0,,,3.0,8.0,48.0,169.0,223.0,215.0,42.0,224.0,224,221.0,216.0,176.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,8th Grade,255,115.0,140.0,,,85.0,103.0,46.0,3.0,14.0,4.0,52.0,2.0,32.0,204.0,,,11.0,7.0,37.0,203.0,253.0,223.0,51.0,255.0,255,244.0,248.0,218.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,8th Grade,248,121.0,127.0,,1.0,109.0,77.0,36.0,,15.0,10.0,61.0,4.0,24.0,201.0,2.0,,7.0,3.0,35.0,187.0,244.0,224.0,47.0,246.0,248,241.0,245.0,213.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,8th Grade,217,96.0,121.0,,2.0,92.0,74.0,32.0,3.0,6.0,8.0,40.0,,20.0,179.0,,,4.0,3.0,32.0,177.0,217.0,197.0,38.0,217.0,217,213.0,214.0,185.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,8th Grade,259,118.0,141.0,,2.0,102.0,95.0,35.0,6.0,11.0,8.0,65.0,2.0,27.0,218.0,2.0,,6.0,1.0,35.0,194.0,257.0,232.0,41.0,257.0,259,253.0,258.0,224.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,AllGrades,657,316.0,341.0,,3.0,218.0,199.0,118.0,15.0,61.0,43.0,148.0,3.0,49.0,505.0,2.0,1.0,21.0,14.0,118.0,509.0,654.0,608.0,152.0,655.0,656,636.0,643.0,539.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,AllGrades,664,301.0,363.0,,3.0,220.0,228.0,113.0,13.0,53.0,34.0,144.0,2.0,32.0,522.0,,,17.0,19.0,134.0,520.0,662.0,632.0,142.0,664.0,664,647.0,645.0,530.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,AllGrades,684,307.0,377.0,,1.0,232.0,260.0,112.0,13.0,42.0,24.0,144.0,3.0,87.0,547.0,,1.0,29.0,18.0,120.0,540.0,681.0,597.0,137.0,684.0,683,655.0,666.0,564.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,AllGrades,736,345.0,391.0,,3.0,271.0,276.0,118.0,3.0,41.0,24.0,175.0,9.0,84.0,607.0,3.0,,23.0,11.0,120.0,561.0,727.0,652.0,129.0,733.0,736,713.0,725.0,616.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,AllGrades,719,338.0,381.0,,3.0,293.0,236.0,120.0,8.0,35.0,24.0,169.0,3.0,68.0,601.0,1.0,,16.0,9.0,109.0,550.0,716.0,651.0,118.0,718.0,719,703.0,710.0,610.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,3774.0,Aki Kurose Middle School,101143.0,P,AllGrades,728,343.0,385.0,,6.0,289.0,250.0,105.0,10.0,36.0,32.0,170.0,6.0,62.0,601.0,6.0,,20.0,7.0,109.0,558.0,722.0,666.0,127.0,722.0,728,708.0,721.0,619.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2181.0,Alki Elementary School,101061.0,P,1st Grade,54,23.0,31.0,,,1.0,3.0,3.0,,11.0,36.0,5.0,,1.0,3.0,,,1.0,1.0,5.0,49.0,54.0,53.0,51.0,54.0,54,53.0,53.0,49.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2181.0,Alki Elementary School,101061.0,P,1st Grade,69,38.0,31.0,,,3.0,5.0,6.0,,9.0,46.0,5.0,,,7.0,,1.0,1.0,,6.0,64.0,69.0,69.0,62.0,69.0,68,68.0,69.0,63.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2181.0,Alki Elementary School,101061.0,P,1st Grade,61,30.0,31.0,,,4.0,2.0,5.0,,10.0,40.0,4.0,,,9.0,,,3.0,1.0,6.0,57.0,61.0,61.0,52.0,61.0,61,58.0,60.0,55.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2181.0,Alki Elementary School,101061.0,P,1st Grade,49,26.0,23.0,,,3.0,3.0,3.0,,8.0,32.0,4.0,,,6.0,,1.0,1.0,,3.0,45.0,49.0,49.0,43.0,49.0,48,48.0,49.0,46.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2181.0,Alki Elementary School,101061.0,P,1st Grade,86,37.0,49.0,,,2.0,3.0,8.0,,12.0,61.0,6.0,,1.0,17.0,,,3.0,,6.0,80.0,86.0,85.0,69.0,86.0,86,83.0,86.0,80.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2181.0,Alki Elementary School,101061.0,P,1st Grade,71,29.0,42.0,,3.0,1.0,11.0,7.0,,6.0,43.0,5.0,,,17.0,,,1.0,,9.0,66.0,71.0,71.0,54.0,71.0,71,70.0,71.0,62.0,02/11/2020 12:00:00 AM
