County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid8,Organizationid9,OrganizationLevel (PublicDirectory),OrganizationName,School Code,School Name,School Organization Id,SchoolYear,Avg. Average Class Size
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ballard High School,2220,101071,101071,School,Ballard High School,2220.0,Ballard High School,101071.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Broadview-Thomson K-8 School,2209,101068,101068,School,Broadview-Thomson K-8 School,2209.0,Broadview-Thomson K-8 School,101068.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Chief Sealth International High School,3096,101118,101118,School,Chief Sealth International High School,3096.0,Chief Sealth International High School,101118.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Graham Hill Elementary School,3378,101126,101126,School,Graham Hill Elementary School,3378.0,Graham Hill Elementary School,101126.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madison Middle School,2435,101091,101091,School,Madison Middle School,2435.0,Madison Middle School,101091.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Montlake Elementary School,2322,101083,101083,School,Montlake Elementary School,2322.0,Montlake Elementary School,101083.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Northgate Elementary School,3027,101115,101115,School,Northgate Elementary School,3027.0,Northgate Elementary School,101115.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Roosevelt High School,2285,101079,101079,School,Roosevelt High School,2285.0,Roosevelt High School,101079.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1,17001,100229,100229,District,Seattle School District #1,,District Total,,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - South Shore PK-8 School,4218,101173,101173,School,South Shore PK-8 School,4218.0,South Shore PK-8 School,101173.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Stevens Elementary School,2080,101041,101041,School,Stevens Elementary School,2080.0,Stevens Elementary School,101041.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Whitman Middle School,3277,101124,101124,School,Whitman Middle School,3277.0,Whitman Middle School,101124.0,2018-19,19
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dearborn Park International School,3803,101145,101145,School,Dearborn Park International School,3803.0,Dearborn Park International School,101145.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Dunlap Elementary School,2321,101082,101082,School,Dunlap Elementary School,2321.0,Dunlap Elementary School,101082.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hazel Wolf K-8,5175,104944,104944,School,Hazel Wolf K-8,5175.0,Hazel Wolf K-8,104944.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lowell Elementary School,3714,101138,101138,School,Lowell Elementary School,3714.0,Lowell Elementary School,101138.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Rainier Beach High School,3327,101125,101125,School,Rainier Beach High School,3327.0,Rainier Beach High School,101125.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Rainier View Elementary School,3380,101128,101128,School,Rainier View Elementary School,3380.0,Rainier View Elementary School,101128.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Roxhill Elementary School,3157,101120,101120,School,Roxhill Elementary School,3157.0,Roxhill Elementary School,101120.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Salmon Bay K-8 School,1796,101006,101006,School,Salmon Bay K-8 School,1796.0,Salmon Bay K-8 School,101006.0,2018-19,20
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - B F Day Elementary School,3717,101139,101139,School,B F Day Elementary School,3717.0,B F Day Elementary School,101139.0,2018-19,21
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Garfield High School,2306,101080,101080,School,Garfield High School,2306.0,Garfield High School,101080.0,2018-19,21
